id,name,type,region,city,matched_on,status
"0cc86c22-d3a7-48d9-ac1a-1478f842b8ff","Dirre Sheikh Hussein Pilgrims Village","both","Oromia","Sheik Hussein","sheikh hussein","RESOLVED"
"0d291d6c-0210-408b-87a8-fbc919f72dc5","Dembi Waterfall & Forest Sanctuary","both","South West Ethiopia Peoples","Bonga","dembi waterfall","RESOLVED"
"0db2f2ba-292b-4bfd-a534-f3bbcf855467","Tekeze River Canyon Trekking","both","Amhara","Tekeze","tekeze","RESOLVED"
"0e43bad9-7f39-4795-be9d-01fd987acf85","Awash National Park Arid Ecosystem Research Outpost","both","Oromia","Awash","awash national","RESOLVED"
"0e4d4519-15ac-4164-95ff-67610eea618a","Bishoftu Pyramids Resort Meeting Facilities","both","Oromia","Bishoftu","pyramids resort","RESOLVED"
"0f2b4014-1411-4d39-9d1f-ab7c9840a894","Gojjam Teff Farming Cooperatives","both","Amhara","Debre Markos","gojjam","RESOLVED"
"0f3ec61a-c1a4-4baf-bfdc-6913b4805a5c","Yeha Village Public Walkway","city_only","Tigray","Yeha","yeha","RESOLVED"
"0f7c84bd-4645-4e2b-b0c8-c603b9a940b1","Entoto Mountain Zipline & Rope Course","both","Addis Ababa","Addis Ababa","addis ababa","RESOLVED"
"0fa2359e-59e0-4cb3-867c-b289e8e9a009","Silte Mixed Agro-Farms","both","Central Ethiopia Regional State","Worabe","worabe","RESOLVED"
"10428c4d-037c-4235-a04c-81eeedfcbb52","Jinka South Omo Health & Education Volunteer Base","both","South Ethiopia Regional State","Jinka","south omo","RESOLVED"
"1083c39b-85cc-457d-9a68-518fe138f7be","Addis Ababa Italian Occupation Fortifications","both","Addis Ababa","Gulale","italian occupation","RESOLVED"
"10995a8c-f549-4261-9251-3c7e872b92b8","Argobba Heritage Villages","both","Afar","Semera","argobba","RESOLVED"
"10aad439-21ab-49ae-bad6-cd8d0e02d12f","Teppi Coffee & Spice Plantation Estate","city_only","South West Ethiopia Peoples","Teppi","teppi","RESOLVED"
"10c92854-678b-4c37-9275-8d10f798aa6d","Entoto Planetarium Complex","both","Addis Ababa","Gulale","entoto planetarium","RESOLVED"
"131993b4-a8b5-41cb-a8d1-5e2610dfd540","Bishoftu Lake Kilole Water Outpost","both","Oromia","Bishoftu","lake kilole","RESOLVED"
"133d233e-e6d0-4a8e-803a-7a7b8b5bde07","Metu Town Center","both","Oromia","Metu","metu","RESOLVED"
"13e068c7-3d20-4a4e-b74b-3b403ab237a2","Abuna Yemata Guh Rock Climb","both","Tigray","Halah Gheralta","abuna yemata","RESOLVED"
"14dcdb3b-f234-4f0e-9ddb-270c10ebcc13","Assab Road Historical Conflict Sites","both","Afar","Semera","assab road","RESOLVED"
"151689f0-1345-4c94-8b5e-4cf3b59dfae8","Chebera Churchura National Park (African Elephants)","city_only","South West Ethiopia Peoples","Bonga","chebera-churchura","RESOLVED"
"155560ee-ef59-4e8f-9b0a-da01cfb2db33","Gerbi Natural Hot Springs Retreat","city_only","Oromia","Bishoftu","gerbi","RESOLVED"
"15d4cc48-4db3-4cbb-91c9-c60fa8b4dc57","Lewi Resort & Wellness Spa","both","Sidama","Hawassa","lewi resort","RESOLVED"
"15f2bcde-0809-406f-8919-09b8f795e41a","Menz Mama Midir Wool Farming Hamlets","both","Amhara","North Shewa","menz","RESOLVED"
"1618e41c-dd41-468c-bc4d-eb68f0980534","Geralle National Park (Giraffes & Gazelles)","city_only","Somali","Jijiga","geralle","RESOLVED"
"16b17298-cf95-44da-b6a5-4c1bce95c425","Imperial Club Sports Facilities","both","Addis Ababa","Kirkos","imperial club","RESOLVED"
"171119ef-dd22-425f-93bc-654ef09a656a","Menz Guassa Silent Wilderness Camp","city_only","Amhara","North Shewa","guassa","RESOLVED"
"17182a01-db5e-4920-b6bb-5927b96a2ccb","Silte Halawa & Traditional Confectionery Outlets","both","Central Ethiopia Regional State","Worabe","worabe","RESOLVED"
"17520cea-bed8-4aa0-b020-30e597001408","Lake Kuriftu Waterpark Boating Marina","both","Oromia","Bishoftu","kuriftu","RESOLVED"
"1780d35c-2488-4b5e-b3ae-042a32f6c0b7","Filwoha Thermal Mineral Baths","both","Addis Ababa","Addis Ababa","addis ababa","RESOLVED"
"17cdd081-8692-4079-ad33-6a5c3db45ad7","Dil Chora Hospital","both","Dire Dawa","Dire Dawa","dire dawa","RESOLVED"
"18d1a00d-e89d-4c2a-81e3-727d2f2c2196","Kafa Biosphere Waterfall & Wild Coffee Forests","both","South West Ethiopia Peoples","Bonga","kafa biosphere","RESOLVED"
"1911def4-e997-465b-a0a3-6d9d84380461","Dima River Canyon Adventure Trail","both","Amhara","Debre Markos","gojjam","RESOLVED"
"1a1c5e1b-dafa-4c16-b381-623fbaa66752","Beynuna Village Community","both","Harar","Harar","beynuna","RESOLVED"
"1a3def45-0960-4282-bebd-627a7cb980c4","Argobba Ancient Settlements","city_only","Afar","Semera","aliyu-amba","RESOLVED"
"1a5b3dff-4d10-4581-8c58-b2c5f9aec1f4","Mount Kundudo Feral Horse Sanctuary","both","Harar","Harar","mount kundudo","RESOLVED"
"1b0dae3c-22ba-4e5d-ba89-22160801cca4","Konso Soil Erosion & Cultural Preservation Sites","city_only","South Ethiopia Regional State","Konso","konso","RESOLVED"
"1cf5758b-28cb-430a-b66a-8d238d4d8bb5","Awash Thermal Hot Springs","both","Oromia","Awash","awash national","RESOLVED"
"1d914cd7-3a4f-4b25-ac05-35aae3470100","Menz Highland Sheep Meat Roasting Centers","both","Amhara","North Shewa","menz","RESOLVED"
"1e396328-3fdf-40f1-b7dd-41362f74ef63","Sodo Town Mount Damota Public Hike","both","South Ethiopia Regional State","Wolaita Sodo","mount damota","RESOLVED"
"1e95d4ee-0a3f-4595-98b3-9e7949a572cf","Menz Guassa Community Conservation Area (Ethiopian Wolves)","city_only","Amhara","North Shewa","guassa","RESOLVED"
"1e9cbc26-1c66-4df8-a395-3ce61bb60b65","Combolcha Central Park","both","Amhara","Kombolcha","kombolcha","RESOLVED"
"1ed00cb8-cefc-4d4f-be7b-e45568710d02","Gedeo Sacred Cultural Landscapes","both","South Ethiopia Regional State","Yirga Cheffe","gedeo","RESOLVED"
"1ed24426-c2c9-4515-8ff8-f7200e264835","Tekle Haymanot Cave Shrine","both","Oromia","Debre Libanos","tekle haymanot","RESOLVED"
"1ee1842e-065b-46cc-972f-8d9d45d54b92","Maze National Park (Swaynes Hartebeest & Lions)","both","South Ethiopia Regional State","Sawla","maze national","RESOLVED"
"1f001180-7b6a-4c63-80ea-2d8f6aa0fdfb","Massacre Memorial at Zeret Cave","city_only","Amhara","Dessie","zeret-cave","RESOLVED"
"1f3e6ebe-2be1-4614-82f1-e2f837b3d3d7","Guzara Royal Castle Ruins","both","Amhara","Gondar","gondar","RESOLVED"
"1f69a209-ecd9-4cd9-9188-57c315e4f2be","Abuna Aregawi Shrine","both","Tigray","Debre Damo","debre damo","RESOLVED"
"1fafd623-6c4d-41bb-a79b-8b5bd35127d9","Abebech Gobena Mothers & Children Hospital","both","Addis Ababa","Bole","abebech gobena","RESOLVED"
"1ff14e7b-bfb6-444f-9af4-b1073a2631d3","Awi Agew Rural Homesteads","both","Amhara","Injibara","injibara","RESOLVED"
"200f2932-52b1-430f-87fa-ef56ba6bee1d","Lake Ziway Bird Sanctuary (Pelicans & Fish Eagles)","both","Oromia","East Shewa","lake ziway","RESOLVED"
"2022c34b-b7e3-4236-81e3-d04af7a3d038","Gumuz Tribal Communities","both","Benishangul-Gumuz","Assosa","benishangul","RESOLVED"
"207de875-a9dc-412b-8054-964c5edc08b7","Bale Harenna Cloud Forest Moss & Fern Canopy","both","Oromia","Dinsho","harenna","RESOLVED"
"21d9b8a0-7f58-4f22-96b8-78e242ae990c","Arsi Highlands Cattle & Grain Farms","both","Oromia","Asella","arsi","RESOLVED"
"2272a61f-9359-4e0c-a986-2026a826d363","Blue Nile Gorge Ferry Crossing Points","both","Amhara","Debre Markos","blue nile gorge","RESOLVED"
"23226a89-46e7-4984-99ee-5cc67e1cc906","Ras Dashen Peak Trek","city_only","Amhara","Debark","ras dashen","RESOLVED"
"24028b03-8409-4402-9702-50e66d44c031","Gidabo Thermal Medicinal Springs","city_only","Sidama","Hawassa","gidabo","RESOLVED"
"24d6e6ee-90b9-49d3-9b43-ac8fa2d59587","Shashemene Crossroads City Hub","city_only","Oromia","Shashemene","shashemene","RESOLVED"
"26cfc331-c3b9-4089-a0ed-b629bbd081d6","Omo River Whitewater Expedition","both","South Ethiopia Regional State","Jinka","south-omo","RESOLVED"
"28b06163-a019-4ec8-806d-dc45aba5595f","Mount Fentale Crater Trek","both","Oromia","Metehara","mount fentale","RESOLVED"
"2b3cc33e-44bc-40f6-91a3-2b03e30b882b","Choke Mountain Agro-Eco Restoration Sites","city_only","Amhara","Debre Markos","choke mountain","RESOLVED"
"2cdc89c9-ccae-4a4a-a328-41dcfe7efd2e","Bate Historic Military Garrison Ruins","both","Oromia","Haromaya","haramaya","RESOLVED"
"2dd76ae5-d856-4946-83ab-85a9bd32a9d3","Bishoftu Hora Resort Boating & Sports Grounds","both","Oromia","Bishoftu","bishoftu","RESOLVED"
"2de90c71-ca60-4d2b-be4b-22ab54f37a93","Baro River Steamship/Boat Route","both","Gambela","Gambela","gambella","RESOLVED"
"2e8a6a51-a57c-43f3-8cd8-49f38b7bb164","Harar New Town (Kazanchis / Stadium District)","both","Addis Ababa","Kirkos","kazanchis","RESOLVED"
"3096f7ab-0a87-42fa-ba55-98282bb96595","Metekel Sesame & Oilseed Farms","both","Benishangul-Gumuz","Assosa","metekel","RESOLVED"
"31b2466f-8630-4b81-8717-2af3da7822c3","Hadiya Traditional Cultural Centers","both","Central Ethiopia Regional State","Hosaina","hossaena","RESOLVED"
"31fb5ee6-550b-44b9-a935-eb136e4db8ab","Tut Fela Megalithic Burial Stelae Site","both","South Ethiopia Regional State","Wolaita Sodo","tut fela","RESOLVED"
"3286a788-e2b1-4bec-a5ea-c32b752fe610","Awash National Park Gorge & Plains","both","Oromia","Awash","awash national","RESOLVED"
"32ee3318-b222-4de7-b1e2-ff8a62cd2dfa","Borena Saynt National Park","both","Oromia","Yabēlo","borena","RESOLVED"
"3307136d-33b9-46d1-a85d-329b832ef1fa","Entoto Park Mountain Biking & Trail Running Tracks","both","Addis Ababa","Gulale","entoto","RESOLVED"
"3337e9f7-776d-43c5-8f15-ea2a1ad159cd","Gona Hominid & Stone Tool Site","both","Afar","Semera","gona","RESOLVED"
"3393d169-bb0a-4fca-9812-109036f62ad4","Wonchi-Dendi Endurance Trekking Route","both","Oromia","Wenchi","wonchi","RESOLVED"
"353a512f-270c-49f3-8a0b-a72199f59027","Wonji Shoa Sugar Cane Plantation & Factory","both","Oromia","Adama","wonji-shoa","RESOLVED"
"357cf054-8b96-4b60-90fd-26a6517404a0","Gura Ferda Agro-Settlements","both","South West Ethiopia Peoples","Mizan Aman","gura ferda","RESOLVED"
"35f47335-8797-403c-84b7-4d773d3255ae","Gonderine Oilseed & Pulse Farms","both","Amhara","Gondar","gondar","RESOLVED"
"3672280d-719b-4f45-a075-330c2a8e2814","Halala Kella Resort Accessible Viewpoints","both","South Ethiopia Regional State","Kindo Koysha","halala kella","RESOLVED"
"37a12e87-515b-44fa-a6a8-d7989b4017e4","Asham Africa Level Promenade","both","Oromia","Bishoftu","bishoftu","RESOLVED"
"37babb65-974f-4586-a52c-06cc4ffd339d","Ari Highland Farming Villages","both","South Ethiopia Regional State","Jinka","jinka","RESOLVED"
"3950d41d-cf77-437e-ace5-3f6d1a7491a3","Kafa Coffee Forest Conservation Volunteer Stations","both","South West Ethiopia Peoples","Bonga","kafa","RESOLVED"
"39afddda-e645-44b2-86b1-e2e9ab09e2c9","Mekelle Physiotherapy & Rehabilitation Center","both","Tigray","Mek'elē","mekelle","RESOLVED"
"3a215d89-fea3-4dbe-955f-0f36787befa8","Tulu Lafto Eco-Forest","both","Oromia","Jimma","tulu lafto","RESOLVED"
"3abb2bc8-cd5e-4567-8459-71ea7cba5b36","Mount Entoto Viewpoint","both","Addis Ababa","Gulale","mount entoto","RESOLVED"
"3be3419a-6f26-4fe8-a36f-234e728ea785","Megenagna Transit & Commercial Hub","both","Addis Ababa","Yeka","megenagna","RESOLVED"
"3bf44e2f-bffc-4e61-96af-1b6c31f2963c","Berta Music & Horn Cultural Villages","both","Benishangul-Gumuz","Assosa","assosa","RESOLVED"
"3d634d41-af7e-40c2-8ed2-4a56559fc7a2","Dikika Hominid Site","both","Afar","Semera","dikika","RESOLVED"
"3d816d2c-3881-4ed4-a503-4601492b0a6a","Simien Mountains Jinbar Waterfall Overlook","city_only","Amhara","Debark","simien-mountains","RESOLVED"
"3da4a265-b1fa-4350-84ef-ecc140ceece6","Zegie Peninsula Coffee Forests","city_only","Amhara","Bahir Dar Special Zone","lake-tana","RESOLVED"
"3effdf2c-3399-434c-9c27-142f0e4b0899","Bishangari Eco-Resort Spa","city_only","Oromia","Langano","bishangari","RESOLVED"
"3f3b8afc-11fc-47e2-b1cf-3cab71138da8","Lake Koka Wetlands (Migratory Waterbirds)","both","Oromia","Adama","koka","RESOLVED"
"3f48658f-cee9-4fc1-be39-695f3040da45","Lake Hora Eco-Park","both","Oromia","Bishoftu","lake hora","RESOLVED"
"3f866e65-8b6c-4b3d-be32-0b419e440ff1","Zoological Natural History Museum","both","Addis Ababa","Gulale","zoological-museum","RESOLVED"
"3f8bde2a-5b1f-46a6-a08b-638ce57b9af3","Mount Ayalu Volcano Trek","city_only","Afar","Dallol","danakil","RESOLVED"
"430ea818-4176-4cc7-a307-47b499882d5a","Shiro Meda Traditional Clothes Market","both","Addis Ababa","Gulale","shiro meda","RESOLVED"
"43700e13-9720-4983-9e6b-a1ce20eb9bfc","International Cardiovascular Hospital","both","Addis Ababa","Kirkos","cardiovascular hospital","RESOLVED"
"43ab2358-38d7-4156-b8d1-f0749fec4dbe","Sagan River Valley Cultural Nexus","both","South Ethiopia Regional State","Konso","sagan river","RESOLVED"
"44a8af1f-80b0-4a23-90db-f5272c52c1af","Adwa Victory Memorial Educational Wings","both","Tigray","Adwa","adwa","RESOLVED"
"44c08981-cd9c-4a63-8534-8e0696b56e96","Chebera Churchura Elephant Research Station","city_only","South West Ethiopia Peoples","Bonga","chebera-churchura","RESOLVED"
"45ccffd6-2de8-46d3-a9d0-b7e0b44398da","Lake Chew Bahir Salt Flats Dark-Sky Plain","both","South Ethiopia Regional State","Konso","chew bahir","RESOLVED"
"4662ab4e-d913-456a-a9c1-b75341310441","Bishangari Chalets","city_only","Oromia","Langano","bishangari","RESOLVED"
"46e80005-808f-4339-b70a-f57de8e593c9","Langano African Vacation Club Spa","both","Oromia","Langano","langano","RESOLVED"
"46f3711b-bf97-4783-a645-73d6fbd8b7de","Awash National Park Community Eco-Projects","both","Oromia","Awash","awash national","RESOLVED"
"47a09f66-86ef-4853-9aee-e651001356d4","Planet Hotel Executive Suites","both","Tigray","Mek'elē","mekelle","RESOLVED"
"47b0950a-dd1d-4a47-aad3-b274f128c1af","Nyala Sports Club Grounds","both","Addis Ababa","Kirkos","nyala-club","RESOLVED"
"485613b9-5817-4d5f-8e67-f0f95cfae0cb","Chebera Churchura Elephant Paw Luxury Lodge","city_only","South West Ethiopia Peoples","Bonga","chebera-churchura","RESOLVED"
"4874523d-bc8a-4678-a3df-70bdfce3adda","Alkeso Sacred Mosque Complex","both","Central Ethiopia Regional State","Worabe","silte","RESOLVED"
"489c201a-ff25-4eea-9b27-0df71437394b","Gedeo Coffee & Honey Tasting Centers","both","South Ethiopia Regional State","Yirga Cheffe","gedeo","RESOLVED"
"48dba260-8847-4357-a1d2-b853875fa23a","Haile Resort Lake View Villas","both","South Ethiopia Regional State","Arba Minch","nechisar","RESOLVED"
"4931d41e-0978-44b1-89a7-aded8123d36a","Chebera Churchura Wilderness Night Camp","city_only","South West Ethiopia Peoples","Bonga","chebera-churchura","RESOLVED"
"4955807c-67c6-4cda-aa64-e9f28261921e","Emperor Tewodros II Suicide Site at Magdala Fortress","both","Amhara","Dessie","tewodros-ii","RESOLVED"
"49b32550-7e9e-4315-afcc-22c2d46e7319","Mount Gurage Trekking Circuit","both","Central Ethiopia Regional State","Welkite","gurage","RESOLVED"
"49c80e26-f7f6-4f1d-b254-cad1a2bc3655","Dera Denboli Crater Hike","both","Oromia","Bishoftu","dera denboli","RESOLVED"
"4a5030e1-665a-42d1-b00c-c095b05303f9","Lake Langano Cattle & Agro-Forestry Farms","city_only","Oromia","Langano","langano","RESOLVED"
"4b1a2b03-b04c-4bb7-ab2c-6419329638f7","Addis Ketema Raw Meat (Kirt/Gored Gored) Outlets","both","Addis Ababa","Kirkos","kera","RESOLVED"
"4d06800d-f98c-4f2a-92de-745c3786ae78","Mago Wilderness Overland Trail","city_only","South Ethiopia Regional State","Jinka","mago","RESOLVED"
"4d8ec07c-87b9-47e9-ba7f-d8a0e28f92a6","Bale Mountains Alpine Ecosystem Research Outpost","city_only","Oromia","Dinsho","bale-mountains","RESOLVED"
"4de67e02-d7f4-4d62-a977-ce8bd88cf56e","Choke Mountain Community Eco-Villages","city_only","Amhara","Debre Markos","choke mountain","RESOLVED"
"4e00ed19-fb66-4c84-9268-281d54ec1406","Lake Hayq Log Cabin Boat Dock","both","Amhara","Hayq","lake hayq","RESOLVED"
"4f0debde-c9f8-447c-bd73-3354543ac950","Gullele Botanical Garden & Research Center","both","Addis Ababa","Gulale","gullele botanic","RESOLVED"
"4f1c8cc1-62b0-44b0-bd8c-6503ed6d7a21","Dega Estifanos Boat Route","both","Amhara","Bahir Dar Special Zone","dega estifanos","RESOLVED"
"4ff4d3bb-8e6a-494c-be44-5c63eafb4869","Saint George Cathedral Museum Wing","both","Addis Ababa","Addis Ketema","saint george","RESOLVED"
"508b35ff-c7c5-42c2-8add-7ca23943c516","Dunkur Palace (Queen Sheba Palace Ruins - Axum)","both","Tigray","Axum","axum","RESOLVED"
"50ddc07c-4b8b-444d-98e5-fd3e873baa73","Zuqualla Abo Monastery","city_only","Oromia","Dendi","zuqualla","RESOLVED"
"50ec4e15-a707-45aa-81c8-cc3ef3910027","St. Pauls Hospital Millennium Medical College","both","Addis Ababa","Addis Ketema","st. pauls","RESOLVED"
"51071284-8440-4876-a880-f5b6ab994788","Lake Ardibo Boat Tour Points","both","Amhara","Dessie","lake ardibo","RESOLVED"
"51c2c3e9-5372-43ed-bc2f-17a4bbb78ceb","Awash River Canyon Rafting","both","Oromia","Awash","awash national","RESOLVED"
"52b26f43-475d-4d78-a552-facb4e03fabe","Sor Waterfall Deep Rainforest Surge","both","Oromia","Metu","sor waterfall","RESOLVED"
"5379dcb1-0f39-45e7-bccb-7d4727f09d13","Azwamariam Monastery","both","Amhara","Bahir Dar Special Zone","zegie","RESOLVED"
"53e13fe6-dfd5-4af9-ba94-2903d804bc65","Lake Ziway Island Hopping Kayak Trail","both","Oromia","East Shewa","lake ziway","RESOLVED"
"5482603e-a19e-4002-a832-caa4c20f30dd","Konso Walled Cultural Villages","city_only","South Ethiopia Regional State","Konso","konso","RESOLVED"
"551642cd-83d7-4a04-882e-552d4eb0fd80","Akaki Athletics Training Complex","both","Addis Ababa","Addis Ababa","addis ababa","RESOLVED"
"55614d2f-89f1-4c71-b3b0-625ea64c59be","Borena Meat Roasting (Kikil) Outlets","both","Oromia","Yabēlo","borena","RESOLVED"
"55985669-8d33-4e70-a8ea-d3b3e84ff753","Tana Qirqos Island Monastery","city_only","Amhara","Bahir Dar Special Zone","tana-qirqos","RESOLVED"
"55aeb54e-5a5b-4a6e-b112-ab8094f3aa0b","Choke Mountain Organic Potato & Barley Agro-Farms","city_only","Amhara","Debre Markos","choke mountain","RESOLVED"
"55cde165-1a79-46e8-b8bd-2a72e3f479cc","Lake Chew Bahir Off-Roading","both","South Ethiopia Regional State","Konso","chew bahir","RESOLVED"
"5601a0b7-c3cd-463b-b11e-d0920287401e","Chelba Tutiti Megalithic Complex","both","South Ethiopia Regional State","Wolaita Sodo","chelba tutiti","RESOLVED"
"565e2fbe-684e-4f62-b4b2-c8ffd04c72a0","Wenchi Crater Lake Island Monastery Overlook","both","Oromia","Wenchi","wenchi crater","RESOLVED"
"56eca6e1-7606-41a1-a5d2-8d2ad4bc5a6d","Lake Langano Sabana Resort Boat Dock","city_only","Oromia","Langano","langano","RESOLVED"
"57562c1b-d9e1-4e20-9439-cd554caec184","Shiro Meda Colorful Fabric Displays","both","Addis Ababa","Gulale","shiro meda","RESOLVED"
"577f9abc-caa9-4db7-b2fb-85dd2235356a","Wenchi Crater Lake Trekking & Kayaking","both","Oromia","Wenchi","wenchi crater","RESOLVED"
"57a4df51-664e-4637-891c-27e6de3d0f8a","Battlefield of Chelenqo","both","Addis Ababa","Addis Ketema","menelik ii","RESOLVED"
"57e4808b-c0a1-4cc9-9c0f-9c460fcd27e8","Shashemene Rastafarian Land Grant Community","city_only","Oromia","Shashemene","shashemene","RESOLVED"
"586f7f47-569e-4a3f-829c-67ca7e1fd586","Sanetti Plateau & Afro-Alpine Tarns","city_only","Oromia","Dinsho","bale-mountains","RESOLVED"
"587ecae5-c03c-4241-b154-9f038e86b6e2","Mount Choqa Summit Trek","both","Amhara","Debre Markos","gojjam","RESOLVED"
"58c9e3c6-5f2b-46e3-bdfd-247f27fd3f59","Korebte Eco-Lodge VIP Suites","both","Oromia","Wenchi","wenchi crater","RESOLVED"
"58fc4ba3-40ba-4081-9b63-f06b6562c9f4","Bete Giyorgis Rock-Hewn Cross","both","Amhara","Lalibela","lalibela","RESOLVED"
"59213d73-f699-4e9e-a7a7-2b7bacb38353","Bete Maryam Rock Church","both","Addis Ababa","Kirkos","bete maryam","RESOLVED"
"5966f553-1ad7-4805-881a-59bae6f806bc","Lake Abijatta Shoreline Excursion Points","city_only","Oromia","Arsi Negelle","abijatta","RESOLVED"
"5aa3e09e-81dc-4910-b241-f68432ff254b","Choke Mountain High-Altitude Alpine Landscapes","city_only","Amhara","Debre Markos","choke-mountain","RESOLVED"
